date,price,trend_value,residual,z_score,raw_score,smoothed_score,risk_score
2016-11-01,10.73,10.03357978753515,0.06710611031585634,-2.688546853732806,1.7415593265977694,7.443974491218692,7.443974491218692
2016-11-02,10.73,10.056697789925046,0.06480469735583405,-2.7075466997012616,1.6934545614012992,6.006344508764344,6.006344508764344
2016-11-03,10.73,10.079717251283494,0.06251834486071361,-2.7096126153338194,1.6883033444373288,4.9268342176825906,4.9268342176825906
2016-11-04,10.73,10.102638482574179,0.060246931013115734,-2.711554042237023,1.6834765690816549,4.115994805532357,4.115994805532357
2016-11-05,10.73,10.12546179590208,0.057990335218274236,-2.7134877840445975,1.6786823839113711,3.5066667001271106,3.5066667001271106
2016-11-06,10.73,10.148187504463836,0.05574843808929275,-2.7152990369700056,1.6742040493681796,3.048551037437378,3.048551037437378
2016-11-07,10.73,10.170815922499882,0.0535211214325253,-2.717103573021468,1.669754001391516,2.7038517784259124,2.7038517784259124
2016-11-08,10.73,10.193347365246495,0.05130826823326329,-2.7187875802603845,1.665611671089297,2.4442917515917584,2.4442917515917584
2016-11-09,10.73,10.215782148889566,0.049109762641543764,-2.7204658106242805,1.661493601544214,2.2485922140798724,2.2485922140798724
2016-11-10,10.73,10.238120590518633,0.04692548995821788,-2.7220254334182292,1.6576755474907692,2.1008630474325964,2.1008630474325964
2016-11-11,10.73,10.26036300808241,0.04475533662115483,-2.723580191903996,1.6538779874693204,1.9891167824417773,1.9891167824417773
2016-11-12,10.73,10.282509720344443,0.0425991901917091,-2.7250182261596185,1.6503731461474984,1.9044308733682076,1.9044308733682076
2016-11-13,10.73,10.30456104684027,0.04045693934131522,-2.7264522820086587,1.6468852738742965,1.8400444734947299,1.8400444734947299
2016-11-14,10.73,10.326517307835088,0.03832847383829918,-2.727771459962884,1.6436832052563404,1.7909541564351323,1.7909541564351323
2016-11-15,10.73,10.348378824282284,0.036213684534869284,-2.7290875194906046,1.6404948063745366,1.7533393189199833,1.7533393189199833
2016-11-16,10.73,10.370145917782574,0.034112463354308176,-2.7302905113277527,1.637585655810873,1.7244009031427057,1.7244009031427057
2016-11-17,10.73,10.391818910544352,0.03202470327830076,-2.731491219518062,1.634687086441487,1.701972448967401,1.701972448967401
2016-11-18,10.73,10.41339812534468,0.029950298334451286,-2.7325806349403887,1.632061549200837,1.68449472402576,1.68449472402576
2016-11-19,10.73,10.434883885490748,0.027889143584002074,-2.733668576995287,1.6294437015582983,1.6707319684088944,1.6707319684088944
2016-11-20,10.73,10.456276514782445,0.02584113510968633,-2.7346469667490734,1.6270929898132618,1.6598222237599862,1.6598222237599862
2016-11-21,10.73,10.47757633747544,0.023806170003771054,-2.7356246695932747,1.6247472601844752,1.6510534828661083,1.6510534828661083
2016-11-22,10.73,10.498783678245026,0.021784146356260248,-2.7364945269507723,1.6226630722581386,1.6439558802141159,1.6439558802141159
2016-11-23,10.73,10.51989886215108,0.019774963243222476,-2.737364460693879,1.620581331162416,1.638112242951191,1.638112242951191
2016-11-24,10.73,10.540922214602798,0.01777852071536712,-2.7381282228937986,1.6187558228612402,1.633273137928703,1.633273137928703
2016-11-25,10.73,10.561854061325366,0.015794719786656142,-2.5601659882426704,2.1036218941731413,1.7508603269898126,1.7508603269898126
2016-11-26,10.73,10.582694728326308,0.01382346242317034,-2.3820992238813328,2.7301066772415417,1.9956719145527448,1.9956719145527448
